           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.079000    0.264835   -1.112278   -1.614788   -0.794909       12.830332       -5.541696    0.232483    0.006974    0.000000    3.474421
    0.079500    0.266391   -1.109473   -1.613736   -0.799586       12.830332       -5.541696    0.235383    0.007145    0.000000    3.474421
    0.080000    0.267946   -1.106671   -1.612678   -0.804256       12.830332       -5.541696    0.238299    0.007319    0.000000    3.474421
    0.080500    0.269498   -1.103870   -1.611614   -0.808919       12.830332       -5.541696    0.241232    0.007496    0.000000    3.474421
    0.081000    0.271048   -1.101072   -1.610543   -0.813576       12.830332       -5.541696    0.244182    0.007676    0.000000    3.474421
    0.081500    0.272596   -1.098275   -1.609466   -0.818226       12.830332       -5.541696    0.247149    0.007859    0.000000    3.474421
    0.082000    0.274142   -1.095480   -1.608383   -0.822869       12.830332       -5.541696    0.250133    0.008045    0.000000    3.474421
    0.082500    0.275686   -1.092686   -1.607294   -0.827505       12.830332       -5.541696    0.253134    0.008235    0.000000    3.474421
    0.083000    0.277227   -1.089895   -1.606198   -0.832134       12.830332       -5.541696    0.256151    0.008427    0.000000    3.474421
    0.083500    0.278766   -1.087106   -1.605096   -0.836756       12.830332       -5.541696    0.259186    0.008623    0.000000    3.474421
    0.084000    0.280303   -1.084318   -1.603987   -0.841371       12.830332       -5.541696    0.262237    0.008821    0.000000    3.474421
    0.084500    0.281837   -1.081533   -1.602873   -0.845980       12.830332       -5.541696    0.265305    0.009024    0.000000    3.474421
    0.085000    0.283370   -1.078749   -1.601752   -0.850581       12.830332       -5.541696    0.268389    0.009229    0.000000    3.474421
    0.085500    0.284900   -1.075968   -1.600624   -0.855175       12.830332       -5.541696    0.271491    0.009438    0.000000    3.474421
    0.086000    0.286427   -1.073188   -1.599491   -0.859762       12.830332       -5.541696    0.274609    0.009650    0.000000    3.474421
    0.086500    0.287953   -1.070410   -1.598351   -0.864342       12.830332       -5.541696    0.277744    0.009865    0.000000    3.474421
    0.087000    0.289476   -1.067635   -1.597205   -0.868914       12.830332       -5.541696    0.280895    0.010084    0.000000    3.474421
    0.087500    0.290996   -1.064861   -1.596053   -0.873480       12.830332       -5.541696    0.284063    0.010306    0.000000    3.474421
    0.088000    0.292515   -1.062089   -1.594895   -0.878038       12.830332       -5.541696    0.287248    0.010532    0.000000    3.474421
    0.088500    0.294031   -1.059320   -1.593730   -0.882588       12.830332       -5.541696    0.290449    0.010761    0.000000    3.474421
    0.089000    0.295545   -1.056552   -1.592559   -0.887132       12.830332       -5.541696    0.293666    0.010994    0.000000    3.474421
    0.089500    0.297056   -1.053787   -1.591382   -0.891668       12.830332       -5.541696    0.296901    0.011230    0.000000    3.474421
    0.090000    0.298565   -1.051023   -1.590199   -0.896196       12.830332       -5.541696    0.300151    0.011470    0.000000    3.474421
    0.090500    0.300071   -1.048261   -1.589010   -0.900717       12.830332       -5.541696    0.303418    0.011713    0.000000    3.474421
    0.091000    0.301576   -1.045502   -1.587814   -0.905230       12.830332       -5.541696    0.306702    0.011960    0.000000    3.474421
    0.091500    0.303077   -1.042745   -1.586612   -0.909736       12.830332       -5.541696    0.310002    0.012211    0.000000    3.474421
    0.092000    0.304577   -1.039990   -1.585404   -0.914234       12.830332       -5.541696    0.313318    0.012466    0.000000    3.474421
    0.092500    0.306074   -1.037236   -1.584190   -0.918725       12.830332       -5.541696    0.316651    0.012724    0.000000    3.474421
    0.093000    0.307568   -1.034485   -1.582970   -0.923208       12.830332       -5.541696    0.320000    0.012986    0.000000    3.474421
    0.093500    0.309060   -1.031737   -1.581743   -0.927683       12.830332       -5.541696    0.323365    0.013251    0.000000    3.474421
    0.094000    0.310550   -1.028990   -1.580511   -0.932150       12.830332       -5.541696    0.326747    0.013521    0.000000    3.474421
    0.094500    0.312037   -1.026245   -1.579272   -0.936610       12.830332       -5.541696    0.330145    0.013794    0.000000    3.474421
    0.095000    0.313522   -1.023503   -1.578027   -0.941061       12.830332       -5.541696    0.333559    0.014071    0.000000    3.474421
